12,20,13060,0
12,2,13065,0
15,16,13050,1
10,16,13071,1
3,19,13055,1
6,12,13055,0
6,19,13045,0
7,13,13045,0
19,20,13063,1
14,17,13048,1
6,19,13055,0
11,18,13055,0
16,2,13063,1
12,20,13062,1
13,5,13061,1
8,19,13051,0
15,1,13068,1
19,5,13067,0
10,16,13051,1
18,17,13067,0
1,2,13061,1
10,12,13064,0
7,13,13044,0
13,17,13050,1
6,2,13061,0
16,12,13067,0
11,3,13049,0
3,1,13057,1
18,20,13050,1
3,13,13068,1
14,12,13065,0
1,19,13062,0
13,5,13044,0
9,17,13046,0
16,5,13048,1
18,9,13060,0
15,3,13053,0
14,12,13064,0
13,2,13045,1
0,13,13052,1
16,5,13066,1
16,17,13066,1
16,5,13044,1
14,1,13045,0
6,18,13047,0
1,2,13050,1
17,5,13061,1
11,3,13063,0
18,13,13061,0
9,17,13059,0
4,18,13043,1
13,16,13056,0
6,12,13053,0
9,12,13049,0
3,13,13047,1
16,5,13059,1
3,1,13054,1
11,18,13069,0
3,20,13048,1
0,16,13062,0
11,16,13063,0
4,12,13057,0
16,12,13057,0
6,18,13064,0
8,17,13062,0
16,1,13043,1
6,3,13048,1
7,17,13051,0
13,17,13063,1
0,1,13067,1
11,17,13064,0
6,16,13067,1
0,12,13043,0
18,12,13052,1
6,19,13068,1
4,12,13063,0
14,17,13066,1
17,2,13054,0
18,16,13044,1
13,12,13053,0
18,17,13068,0
8,12,13050,0
19,2,13061,1
19,2,13059,1
6,17,13055,0
0,19,13057,1
0,1,13059,1
19,5,13059,0
10,2,13060,0
12,1,13071,1
6,12,13069,0
14,12,13053,0
14,3,13053,1
19,17,13066,1
15,3,13069,0
0,17,13047,0
13,1,13045,0
4,16,13065,1
13,20,13065,1
9,2,13071,0
3,12,13053,0
16,5,13057,1
7,17,13060,0
15,3,13044,0
9,12,13062,0
10,12,13045,0
6,17,13048,0
8,1,13049,1
3,5,13069,0
16,5,13043,1
18,19,13050,1
15,3,13052,0
13,19,13046,0
1,20,13067,1
11,18,13070,0
3,1,13053,1
3,1,13047,1
18,1,13061,1
17,5,13068,0
14,2,13069,0
16,1,13049,1
7,16,13066,1
6,3,13050,0
13,5,13069,1
7,12,13043,0
16,1,13044,1
19,5,13056,0
13,5,13062,1
7,3,13054,1
3,13,13051,1
7,16,13054,1
8,1,13047,0
8,19,13064,0
11,3,13048,0
13,1,13050,1
4,18,13063,0
7,2,13068,1
7,18,13055,0
6,17,13059,1
0,12,13070,1
1,19,13063,0
4,18,13069,0
12,1,13055,1
6,3,13054,1
8,1,13071,1
9,1,13051,1
7,19,13045,0
14,13,13054,1
4,2,13046,1
20,2,13060,0
9,1,13068,0
4,1,13053,1
3,1,13043,1
14,16,13066,1
7,13,13071,1
19,5,13068,0
6,16,13056,1
1,20,13062,1
11,2,13062,0
10,17,13049,1
1,19,13047,0
13,5,13043,0
14,16,13063,1
19,2,13070,1
7,17,13043,0
19,5,13070,0
18,1,13060,1
15,2,13045,0
7,17,13069,0
16,1,13064,1
11,3,13047,0
11,2,13063,0
12,20,13059,1
14,13,13056,1
7,3,13064,0
6,3,13047,0
11,17,13050,0
0,16,13067,1
14,16,13046,1
6,16,13064,0
16,20,13061,1
14,13,13071,1
3,19,13059,1
14,18,13048,1
11,1,13065,1
13,19,13050,0
7,12,13059,0
7,12,13057,0
1,20,13065,1
7,1,13045,0
18,5,13048,1
14,3,13067,1
12,1,13058,0
4,19,13046,1
4,12,13045,0
17,20,13053,1
4,17,13053,0
16,17,13059,1
3,16,13059,1
6,12,13064,0
7,13,13052,1
19,20,13069,1
7,3,13043,0
19,5,13071,0
15,2,13067,0
18,16,13068,1
3,1,13062,1
4,1,13050,1
0,13,13071,1
6,2,13066,0
17,5,13053,1
18,1,13053,1
16,5,13065,1
1,2,13062,1
6,13,13059,1
9,13,13045,1
4,19,13051,0
6,3,13062,0
0,13,13051,1
9,1,13057,1
13,5,13050,1
19,5,13051,0
18,5,13044,1
12,2,13047,0
7,12,13069,0
11,1,13063,0
17,20,13061,1
0,3,13070,1
6,16,13071,1
11,2,13050,0
7,12,13064,0
18,9,13063,0
11,16,13046,0
1,2,13053,1
0,19,13061,0
13,1,13066,1
6,16,13060,0
8,19,13065,0
4,16,13068,1
18,1,13059,0
12,20,13071,1
6,19,13061,0
6,1,13071,1
15,2,13069,0
10,16,13068,1
17,2,13068,0
14,1,13043,1
10,2,13047,0
18,16,13060,1
15,1,13050,1
3,19,13060,1
9,13,13046,1
19,5,13065,0
15,16,13047,1
7,18,13052,1
10,16,13065,1
11,18,13045,0
15,19,13065,1
3,12,13047,0
7,13,13058,0
15,16,13052,0
