10,16,13071,1,0
3,19,13055,1,0
6,19,13045,0,0
6,19,13055,0,0
13,5,13061,1,0
19,5,13067,0,0
10,16,13051,1,0
18,20,13050,1,0
3,13,13068,1,0
13,5,13044,0,0
15,3,13053,0,0
18,13,13061,0,0
9,12,13049,0,0
3,13,13047,1,0
0,12,13043,0,0
6,19,13068,1,0
13,12,13053,0,0
19,5,13059,0,0
10,2,13060,0,0
15,3,13069,0,0
15,3,13044,0,0
9,12,13062,0,0
15,3,13052,0,0
18,1,13061,1,0
13,5,13069,1,0
19,5,13056,0,0
13,5,13062,1,0
7,3,13054,1,0
3,13,13051,1,0
7,18,13055,0,0
0,12,13070,1,0
14,16,13066,1,0
19,5,13068,0,0
13,5,13043,0,0
14,16,13063,1,0
19,5,13070,0,0
18,1,13060,1,0
7,3,13064,0,0
14,16,13046,1,0
3,19,13059,1,0
7,1,13045,0,0
18,5,13048,1,0
7,3,13043,0,0
19,5,13071,0,0
18,1,13053,1,0
13,5,13050,1,0
19,5,13051,0,0
18,5,13044,1,0
0,3,13070,1,0
18,1,13059,0,0
6,19,13061,0,0
10,16,13068,1,0
10,2,13047,0,0
3,19,13060,1,0
19,5,13065,0,0
7,18,13052,1,0
10,16,13065,1,0
7,1,13061,1,0
14,16,13058,1,0
15,18,13052,1,0
14,16,13053,1,0
3,13,13067,1,0
10,16,13047,1,0
10,16,13044,0,0
4,13,13060,1,0
13,5,13048,1,0
4,13,13047,1,0
10,16,13055,1,0
13,12,13059,1,0
10,16,13050,1,0
18,5,13068,1,0
19,5,13050,0,0
13,5,13068,1,0
12,5,13052,0,0
11,13,13053,0,0
7,1,13071,1,0
3,19,13057,1,0
18,1,13065,1,0
3,13,13050,1,0
14,16,13043,1,0
3,13,13058,1,0
8,13,13049,1,0
3,13,13065,1,0
14,16,13048,1,0
15,18,13068,1,0
14,16,13057,1,0
0,12,13045,1,0
0,12,13064,0,0
6,19,13065,1,0
15,18,13043,1,0
7,3,13049,0,0
13,12,13070,1,0
18,13,13070,1,0
0,3,13053,1,0
0,3,13052,1,0
7,18,13058,0,0
11,13,13046,0,0
13,12,13068,0,0
15,18,13049,1,0
18,20,13061,0,0
6,19,13060,0,0
13,5,13054,1,0
13,12,13052,1,0
10,16,13066,1,0
9,12,13046,0,0
3,13,13049,1,0
12,5,13043,0,0
18,1,13050,1,0
0,12,13062,1,0
7,18,13061,0,0
18,3,13056,0,0
15,18,13065,1,0
15,3,13059,0,0
14,16,13070,1,0
7,3,13048,1,0
13,12,13071,1,0
9,12,13069,0,0
7,18,13069,0,0
3,13,13070,1,0
4,13,13068,1,0
10,18,13047,0,0
12,5,13050,0,0
18,3,13047,0,0
0,12,13055,0,0
6,19,13047,0,0
14,16,13067,1,0
13,12,13055,0,0
13,12,13051,1,0
3,13,13045,1,0
19,5,13055,1,0
0,3,13045,1,0
18,1,13048,1,0
7,18,13054,1,0
12,5,13067,0,0
13,12,13063,1,0
0,12,13048,1,0
9,12,13052,0,0
7,1,13053,1,0
18,5,13047,1,0
7,18,13046,0,0
19,5,13069,0,0
18,20,13054,0,0
3,13,13059,1,0
11,13,13060,0,0
7,1,13063,0,0
4,13,13065,1,0
10,16,13063,1,0
7,1,13043,0,0
0,3,13048,1,0
18,5,13059,1,0
0,12,13060,0,0
11,13,13069,0,0
18,13,13060,1,0
9,12,13059,0,0
13,5,13070,1,0
7,1,13055,1,0
18,3,13069,0,0
13,5,13051,1,0
0,12,13059,1,0
11,13,13048,0,0
18,1,13046,1,0
18,1,13071,1,0
19,5,13043,0,0
13,12,13047,1,0
3,13,13057,1,0
15,18,13050,1,0
15,3,13068,0,0
9,12,13067,0,0
4,13,13066,1,0
11,13,13059,1,0
14,16,13047,1,0
0,3,13059,1,0
12,5,13059,0,0
10,16,13059,1,0
7,1,13070,1,0
9,12,13051,1,0
18,13,13059,1,0
7,1,13067,1,0
3,13,13071,1,0
7,1,13058,0,0
18,3,13051,0,0
4,13,13045,0,0
4,13,13056,1,0
14,16,13054,1,0
18,5,13052,1,0
9,12,13057,0,0
6,19,13050,0,0
18,20,13045,1,0
7,18,13064,0,0
18,5,13053,1,0
18,13,13069,0,0
4,13,13052,1,0
7,18,13047,0,0
11,13,13063,0,0
18,1,13056,1,0
8,13,13044,0,0
3,2,13064,0,0
3,13,13053,1,0
10,18,13068,1,0
3,19,13061,1,0
11,13,13065,1,0
0,3,13057,1,0
3,19,13063,1,0
14,16,13071,1,0
18,13,13045,1,0
10,16,13062,1,0
14,16,13045,1,0
18,5,13046,0,0
4,13,13057,1,0
10,19,13051,0,0
3,13,13056,1,0
7,18,13051,1,0
14,16,13068,1,0
18,20,13068,1,0
18,5,13045,1,0
3,13,13063,1,0
18,1,13067,1,0
13,5,13067,1,0
18,1,13057,1,0
15,3,13049,0,0
4,13,13050,1,0
10,19,13044,0,0
